Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25902,15705.14,3564.77,6,clothing,Trouser,EMI
,11571.03,746.69,6,Clothing,Trousers,
B-26085,141248.16,43431.4,9,furniture ,Chairs,COD
B-26033,1638.4,557.41,1,Clothing ,T-Shirt,COD
B-25815,25281.34,1149.11,3,Electronic,Phones,COD
B-25974,8618.08,1477.22,5,Clothing,trousers,UPI
B-25884,18583.36,4219.42,7,CLOTHING,Tshirt,UPI
B-25920,25445.9,5723.43,4,electronics,Phones,COD
B-25806,14967.42,600.16,2,furniture ,Tables,Debit Card
B-26017,66196.09,-8273.9,4,Furniture,Chairs,Debit Card
B-25685,83711.2,18818.96,8,electronics,Printers,
B-25898,4549.5,896.59,1,electronics,Phones,cod
B-25613,29183.85,3043.45,3,Electronics,Electronic Games,Credit Card
B-26053,10830.48,-1550.39,4,Clothing ,Kurti,cod
B-25773,16506.66,-1271.66,6 units,CLOTHING,Hankerchief,Debit Card
B-26037,43793.84,-5102.56,9,Furniture,Chairs,cod
B-26052,1857.1,648.96,1,Clothing,Trousers,Credit Card
B-25870,17856.25,5806.07,6,Clothing ,T-Shirt,cod
B-25936,12397.24,4337.26,7,clothing,Hankerchief,Debit Card
B-25750,106235.77,-12862.88,9,Electronics,Accessories,cod
B-25898,7937.38,1838.12,9,CLOTHING,Trouser,Debit Card
B-25895,73312.36,4403.09,5,Furniture,Furnishings,Debit Card
B-25714,38109.18,4337.73,8,Electronics,Phones,Debit Card
B-25836,21156.02,-643.35,2,electronics,Phones,Credit Card
,2181.08,-97.18,1,Clothing,T-Shirt,Credit Card
,29200.1,1912.37,3,Furniture,Bookcases,Credit Card
B-25645,7341.01,-813.18,3,Clothing,Kurti,
B-26013,10989.37,-277.35,1,Furniture,Bookcases,EMI
B-25796,4375.44,1425.98,4,Furniture,,Credit Card
B-26012,38670.58,-949.5,2 units,Furniture,Furnishings,EMI
B-26027,16676.72,4123.2,3,electronics,Printers,Debit Card
B-25987,7521.82,1576.42,2,Electronics,Electronic Games,Debit Card
,5104.54,-542.12,1,electronics,Printers,EMI
B-25990,55459.11,-131.94,7,furniture ,Furnishings,Debit Card
B-25704,5638.22,1184.13,8,CLOTHING,Hankerchief,UPI
B-25696,96137.58,,8,electronics,Phones,COD
B-26060,100783.51,,7,Furniture,Tables,EMI
,30497.84,4157.51,3,Electronics,Electronic Games,COD
B-25800,3936.38,-530.65,2,CLOTHING,Hankerchief,Debit Card
B-25807,16115.79,1054.47,2,Electronic,Electronic Games,EMI
B-25963,80222.26,20945.23,9,Furniture,Chairs,cod
B-25909,35485.07,-3473.55,9,electronics,Accessories,EMI
,9495.78,-239.75,4,CLOTHING,Hankerchief,UPI
B-25758,3410.71,59.89,9,clothing,Kurti,UPI
B-25677,9780.41,-292.7,6,Clothing ,Saree,
B-26026,1665.21,-164.38,1,Clothing ,Kurti,Debit Card
B-25769,12915.42,-1128.9,4,Furniture,Tables,Debit Card
B-25715,1382.06,-81.59,1,Clothing,T Shirt,cod
B-25738,20987.78,134.9,7,Clothing ,Sarees,Credit Card
B-25890,31901.91,4755.18,3,Furniture,Bookcases,Debit Card
B-26098,6695.05,2016.59,9,Clothing,Sarees,Credit Card
B-25706,47824.91,8402.05,4,electronics,Phones,COD
B-26006,19356.29,715.42,-9,clothing,Sarees,COD
B-25760,28838.800000000003,-334.77,5,CLOTHING,Saree,Debit Card
B-25837,39398.05,7714.49,9,furniture ,,UPI
B-25707,100605.97,31467.96,9,Electronics,Accessories,cod
B-25602,89322.41,13918.81,6,Electronics,Electronic Games,EMI
B-25604,29605.48,8288.65,3,Furniture,Furnishings,cod
B-26041,,1859.08,9,CLOTHING,T-Shirt,UPI
B-25754,52036.26,14341.37,5,electronics,,Debit Card
B-25879,49927.66,6623.66,5,Electronics,Phones,Credit Card
B-25866,7474.11,-878.76,1,Electronic,,COD
B-25831,67055.75,10271.97,9,Electronics,Printers,EMI
B-25913,4524.49,536.17,3,Clothing ,T-Shirt,EMI
B-25905,29111.01,588.13,4,Furniture,Chairs,cod
B-25980,45533.17,7338.66,5,Electronics,Phones,Debit Card
B-25981,39155.68,-2688.04,4,Electronics,Accessories,UPI
B-25937,12651.59,3670.95,2,electronics,Accessories,
B-25731,8965.7,,4,CLOTHING,Sarees,Debit Card
B-25810,155960.1,,9,Furniture,Chairs,EMI
B-25872,113237.43,-2304.57,6 units,Furniture,Bookcases,COD
B-25750,12713.67,534.55,5,CLOTHING,Kurti,UPI
B-26022,23767.83,-1175.33,2,electronics,Printers,cod
B-25676,50841.3,-5942.43,4,Electronics,Printers,COD
B-25827,1124.92,,1,clothing,T Shirt,UPI
B-25760,55275.45,14927.73,6,Furniture,Furnishings,cod
B-25723,13297.87,3082.48,9,Clothing ,Kurti,cod
B-25941,36146.43,-256.94,4,Electronic,Phones,Credit Card
B-25885,140327.92,-4294.3,8,Furniture,Furnishings,Credit Card
B-25667,10032.41,3382.9,8,clothing,T Shirt,Credit Card
B-25846,77915.37,23184.41,8,electronics,Printers,cod
B-25747,8927.98,2724.55,4,Clothing ,T Shirt,UPI
B-25954,8874.86,-875.29,2,Electronics,Electronic Games,UPI
B-25737,11746.98,3997.36,5,CLOTHING,Kurti,COD
B-26040,22296.81,883.25,4,Electronics,Accessories,EMI
B-25636,56360.82,11160.28,3,Furniture,Furnishings,UPI
B-26005,24035.02,671.24,9,Clothing,T-Shirt,Credit Card
B-25769,14296.31,4771.47,3,Electronics,Accessories,UPI
B-26088,60452.73,-8157.98,8,furniture ,Chairs,Credit Card
B-26014,8142.54,2624.9,4,Electronic,Printers,Credit Card
B-25778,97000.46,24969.14,8,Electronics,Electronic Games,Debit Card
B-25877,27533.61,3418.58,7,Electronics,Printers,
,96516.69,15916.6,7,Electronics,Phones,EMI
B-25858,10134.17,-852.64,9,electronics,Accessories,UPI
B-25868,,108.49,3,Furniture,Furnishings,EMI
B-26016,9037.84,-385.61,4,Clothing ,Sarees,cod
B-25766,8268.72,-615.78,4,clothing,Kurti,UPI
B-25884,18583.36,4219.42,7,CLOTHING,Tshirt,UPI
B-26008,14715.93,2076.29,5,clothing,Kurti,Credit Card
B-26035,95494.44,7880.93,9,electronics,Electronic Games,
B-26018,4426.69,-525.61,1,Electronics,Printers,Credit Card
B-25941,1819.32,562.84,1,Clothing ,Hankerchief,Credit Card
B-25635,20424.73,,3,Furniture,Furnishings,Debit Card
B-26073,2627.95,709.69,1,clothing,Trouser,COD
B-25876,36567.85,-2625.9,6,Furniture,Furnishings,Debit Card
B-25774,86692.17,-9195.16,8,Furniture,Tables,COD
B-26045,,1207.57,6,Clothing,T Shirt,EMI
B-25605,128329.56,32621.2,9,,Electronic Games,Credit Card
B-25801,23754.46,-2488.5,9,clothing,T-Shirt,EMI
B-26085,65722.23,16478.07,8,Furniture,Bookcases,EMI
,129925.82,10437.58,7,furniture ,Bookcases,Credit Card
B-26058,6182.4,1932.15,2,Furniture,Tables,cod
,5779.84,-798.46,3,Clothing ,Sarees,Debit Card
,10251.36,78.11,1,electronics,Electronic Games,EMI
B-25847,3853.21,,1,furniture ,Chairs,Debit Card
B-25689,17603.2,-1295.08,6,Furniture,Bookcases,UPI
,6814.89,367.15,7,Electronics,Phones,cod
,873.36,40.57,2,,trousers,UPI
B-25841,4455.43,-573.34,2,Furniture,Chairs,Debit Card
B-25895,14060.18,2468.6,2,Electronic,Electronic Games,Credit Card
B-25659,11449.98,3828.03,5,Clothing,,cod
B-25733,49360.06,845.14,4,furniture ,Chairs,cod
B-26072,,-2020.14,1,Furniture,Chairs,
B-25643,25503.0,4117.34,5,Furniture,Bookcases,COD
B-25949,35891.32,7138.0,3,Furniture,Chairs,EMI
B-25956,14196.05,3738.63,5 units,CLOTHING,Kurti,Credit Card
B-25848,75889.69,13623.55,5,Furniture,Furnishings,Credit Card
B-25842,7088.47,-715.64,1,Electronic,Accessories,Credit Card
B-25780,33107.43,610.76,9,Electronic,Phones,Debit Card
B-25929,15523.66,2175.03,6,CLOTHING,T Shirt,
B-26024,25640.58,-1788.91,6,electronics,Phones,cod
B-25972,154340.79,,8,Furniture,Furnishings,EMI
B-26025,14079.65,-352.29,3,Electronic,Electronic Games,cod
B-25671,65192.37,22808.13,5,Electronic,Electronic Games,cod
,8774.94,-511.35,4,Clothing,T-Shirt,EMI
B-25907,10569.53,3227.28,1,Electronics,Accessories,Credit Card
B-26050,,645.28,5,Clothing ,Sarees,UPI
B-25710,59169.77,1845.92,9,electronics,Accessories,COD
B-26001,15683.26,,9,CLOTHING,Saree,Debit Card
B-25793,5297.07,618.46,4,clothing,Saree,cod
B-25864,490713.7,2245.65,4,Furniture,Tables,COD
B-25939,96582.74,29431.4,5,Furniture,Tables,EMI
B-25752,26899.2,3373.93,2,furniture ,Furnishings,EMI
B-25893,77106.33,26874.57,7,Electronics,Phones,COD
B-25669,88893.02,13073.08,6,Electronic,Electronic Games,Credit Card
B-25768,105845.89,28831.53,9,electronics,Phones,EMI
B-25623,118077.08,30489.38,8,Electronics,Accessories,COD
B-26025,120864.69,-13498.42,8,Furniture,Chairs,Debit Card
B-25658,10459.32,1429.99,9,Clothing ,Trouser,COD
B-25977,69827.87,8618.84,5,Electronic,Printers,COD
,2121.02,383.73,7,Clothing ,Hankerchief,EMI
B-25814,22070.8,-1341.4,3,electronics,Accessories,Credit Card
B-25668,42816.3,6709.64,3,Electronic,Accessories,UPI
B-26017,5674.58,-164.5,3,Clothing ,Tshirt,COD
B-25966,63072.32,2494.32,5,Electronic,Printers,UPI
B-25740,20507.83,-2696.7,4,electronics,Phones,Credit Card
B-25734,11792.27,2944.62,8,,Sarees,UPI
B-25860,7728.26,-776.0,8,CLOTHING,Sarees,cod
B-25969,3737.32,505.75,1,Electronics,Printers,Credit Card
B-26086,4471.69,843.79,7,Clothing ,trousers,Credit Card
B-25808,93068.28,-11155.75,5,Furniture,Bookcases,Debit Card
B-26093,122178.92,27726.56,8,Furniture,Tables,COD
,1640.13,394.42,3,Clothing,Hankerchief,COD
B-25683,12189.92,-703.84,1,Electronic,Printers,UPI
B-26023,130305.71,-12679.19,7,furniture ,Chairs,EMI
B-26026,85646.43,14226.58,7,electronics,Printers,Debit Card
B-25948,87885.34,17023.67,8,Electronic,Phones,COD
B-25850,62713.75,3897.56,5,electronics,Electronic Games,EMI
B-25663,2954.83,651.5,3,Clothing ,Saree,
B-25967,54776.46,4494.28,6,electronics,Electronic Games,COD
B-25859,9469.69,1254.84,5,Clothing,T Shirt,UPI
B-25919,32048.03,-2867.9,4,Furniture,Bookcases,EMI
B-25651,6110.63,1959.88,3,Clothing ,Tshirt,COD
B-25649,4975.4,-340.98,3,CLOTHING,Kurti,EMI
B-25889,4185.57,,4,Clothing ,Hankerchief,EMI
B-25813,55778.2,1035.87,5,Clothing ,Saree,EMI
B-26066,26780.63,-420.96,7,electronics,Phones,cod
B-25772,3191.67,630.33,2,CLOTHING,Hankerchief,Debit Card
B-25814,36436.68,-2404.56,3,Furniture,Bookcases,UPI
B-26066,78883.09,-5284.31,4,Furniture,Chairs,Credit Card
B-25862,74799.78,20496.93,9,electronics,Electronic Games,UPI
B-25773,16572.98,-742.89,9,CLOTHING,Trouser,COD
B-25744,26366.35,8424.94,2,electronics,Electronic Games,Debit Card
B-25607,9569.72,2594.76,6,Furniture,Tables,
B-25665,8972.56,-1142.0,1,Electronics,Phones,Credit Card
B-25634,56709.61,871.92,5,Electronic,Electronic Games,Credit Card
B-26068,39400.21,13304.92,7,Electronics,Electronic Games,UPI
B-26011,85320.91,6741.3,6,furniture ,Furnishings,Debit Card
,87274.69,569.47,6,Electronic,Accessories,Credit Card
B-25672,9462.86,-882.14,1,Electronic,Printers,UPI
B-25865,7372.28,-437.47,8,Electronic,Accessories,
,21572.35,-2334.94,4,electronics,Phones,COD
B-25717,6898.49,1017.7,7,clothing,Tshirt,EMI
B-25626,15254.25,5075.24,9,Clothing,Saree,Debit Card
B-25983,25821.07,5536.83,5,electronics,Printers,cod
B-25692,,9434.6,6,Furniture,Furnishings,UPI
,3461.58,656.31,1,electronics,Electronic Games,Debit Card
B-25761,2381.66,-288.28,1,Clothing,Kurti,UPI
B-25826,59197.04,-7809.26,5,Electronic,Accessories,Debit Card
B-25958,1318.75,-121.31,1,Clothing,Trouser,Credit Card
B-26060,100783.51,,7,Furniture,Tables,EMI
B-26018,18595.22,-2034.79,2,Electronics,Accessories,EMI
B-25781,7931.66,-1107.02,7,Electronic,Electronic Games,UPI
B-25724,8791.64,1465.91,2,Electronics,Electronic Games,cod
B-26019,24866.53,3036.87,2,electronics,Phones,UPI
B-25903,11803.43,1937.17,4,clothing,Tshirt,cod
B-26056,12287.68,1823.81,2,Electronics,Phones,COD
B-25816,26703.19,1392.82,9,Clothing,Saree,Credit Card
B-25882,22069.4,4018.7,6,furniture ,Furnishings,COD
B-25779,61738.24,9053.25,9,electronics,Electronic Games,UPI
B-25841,9552.57,-191.94,7,Furniture,Furnishings,COD
B-25737,,1044.31,2,Clothing,Sarees,cod
B-25906,11587.68,-462.2,2,Furniture,Tables,cod
B-26063,18112.2,-626.73,8,Furniture,Tables,UPI
B-25839,107072.88,8018.94,6,Furniture,Bookcases,UPI
B-25656,69176.54,13138.17,8,Electronics,Electronic Games,Credit Card
B-25808,7968.97,1264.48,5,CLOTHING,Kurti,Debit Card
,5580.24,467.85,3,clothing,Sarees,cod
B-25618,5395.42,62.59,1,Electronics,Electronic Games,EMI
B-25989,13871.45,-789.73,4,electronics,Phones,Credit Card
B-25825,19018.87,4639.67,9,Clothing,Kurti,COD
B-26033,101494.76,20117.77,9,furniture ,Chairs,UPI
,22086.27,2712.0,6,furniture ,Tables,EMI
B-25872,30411.64,2055.53,3,furniture ,Bookcases,COD
B-25647,11007.68,62.82,9,Clothing,Trousers,COD
B-26092,21454.78,1573.86,8 units,Electronics,Phones,EMI
,54245.84,8656.9,7,Electronics,Phones,Credit Card
B-25662,27180.65,8240.55,3,Furniture,Furnishings,EMI
B-25804,75712.14,-10801.58,9,electronics,Phones,UPI
B-25849,54264.17,-3114.88,4,Furniture,Bookcases,cod
B-26031,37641.9,-1028.52,3,furniture ,Furnishings,COD
B-26048,7101.6,1697.37,7,clothing,Kurti,UPI
B-25894,11116.65,3824.49,4,CLOTHING,Hankerchief,EMI
B-25670,52510.09,-6909.75,6,Electronic,Electronic Games,cod
